c,430364999,2.6861954759938627
t,1069105550,6.673001983067704
i,962487736,6.007528976915651
o,912197475,5.6936338602155345
n,946352256,5.906816666482178
 ,2525217758,15.761571069209939
1,70828776,0.44208971013784204
.,150180499,0.9373768264930411
"
",73886926,0.46117766736949095
a,1122892826,7.008724306660365
r,840072200,5.243451833656694
k,86936058,0.542626018014862
s,827302166,5.163745520088457
h,590100951,3.6832142684444373
g,250203111,1.5616847708560757
w,208499926,1.3013873323054674
y,191952775,1.198105508132802
0,56094912,0.3501258215486846
7,16329850,0.10192550345772514
e,1493106590,9.319475739323826
f,282038562,1.7603910891001955
u,333646567,2.08251112645962
l,530534965,3.3114231551148103
d,500297269,3.1226894932500877
b,201415608,1.257169370792984
p,261324798,1.631102649573531
3,17787172,0.11102162366397436
6,16301172,0.10174650490059445
m,328350326,2.049453748078407
2,47126578,0.29414845751122964
5,17692778,0.11043244764745318
q,12404066,0.0774220627851971
",",155112886,0.9681631489775304
4,16537408,0.1032210116005849
j,30665165,0.19140178147620535
v,131083931,0.8181823876148712
:,12893262,0.08047546184210853
z,18898821,0.11796016774081994
8,21176235,0.13217503000420092
9,39125337,0.24420736697998827
',22328591,0.13936765366348317
-,30130403,0.18806397457166796
ū,128448,0.0008017297812372972
 ,2249767,0.014042298866038323
x,23590749,0.14724562496102694
"""",60780012,0.37936866065925745
(,21189210,0.13225601564750833
),21214810,0.13241580235029604
–,5980965,0.03733119831400981
ä,317751,0.0019832962733396585
à,100101,0.000624797216240305
%,2694631,0.016818992293731624
$,1193878,0.007451790201202214
!,625931,0.00390685354150818
<,411159,0.002566318005136288
>,429422,0.002680309589238312
/,2557993,0.015966143250938418
太,2035,1.270179453800682e-05
熱,86,5.367834546774381e-07
#,291968,0.001822367345293747
心,1245,7.770876756667562e-06
疼,10,6.241668077644629e-08
你,730,4.556417696680579e-06
的,2038,1.2720519542239754e-05
年,1377,8.594776942916654e-06
度,461,2.8774089837941737e-06
百,781,4.874742768640455e-06
首,276,1.7227003894299176e-06
單,173,1.0798085774325208e-06
曲,642,4.007150905847852e-06
出,621,3.876075876217314e-06
神,1970,1.2296086112959918e-05
入,287,1.7913587382840084e-06
化,801,4.999576130193348e-06
我,1304,8.139135173248596e-06
有,1252,7.814568433211075e-06
新,2286,1.4268453225495621e-05
生,1624,1.0136468958094877e-05
á,972406,0.0060694354887101025
;,4280503,0.026717478931362067
•,53015,0.00033090203313633
&,1139718,0.007113741458116981
—,807482,0.00504003462267264
é,2076174,0.012958788979435759
è,259026,0.0016167543154799776
’,991136,0.006186341931804387
+,272295,0.0016995750092022443
ü,569790,0.003556440053961133
š,281301,0.0017557874719095117
],149665,0.0009341592528406833
도,973,6.073143039548224e-06
전,823,5.13689282790153e-06
수,917,5.723609627200124e-06
퍼,78,4.86850110056281e-07
모,256,1.597867027877025e-06
델,4,2.4966672310578516e-08
코,103,6.428918119973967e-07
리,1257,7.845776773599299e-06
아,964,6.0169680268494224e-06
י,11277,7.038729091159848e-05
צ,1085,6.772209864244422e-06
ח,2293,1.4312144902039133e-05
ק,2316,1.445570326782496e-05
מ,4374,2.7301056171617604e-05
ו,8781,5.480808738979749e-05
ל,5613,3.5034482919819304e-05
כ,1763,1.100406082088748e-05
ß,64612,0.00040328665783277473
*,108565,0.0006776266948494891
°,146953,0.0009172318490141111
ó,710933,0.004437407811444129
ñ,201212,0.001255898517239031
ª,939,5.860926324908307e-06
=,651083,0.004063843976997098
í,625259,0.003902659140560003
…,53288,0.00033260600852152696
ø,191635,0.0011961220620594283
æ,72632,0.0004533448358154847
“,483612,0.0030185455823658744
”,482979,0.003014594606472725
ë,89480,0.0005585044595876414
ö,537450,0.0033545845083301057
å,116689,0.000728334006312274
ı,136996,0.0008550835599650036
ş,96447,0.0006019901610845915
ç,246303,0.001537341572528105
ï,38791,0.0002421205463999128
â,130536,0.0008147623841834193
ú,152953,0.0009546818574799789
×,69702,0.0004350567483479859
方,1176,7.340201659310083e-06
誥,31,1.9349171040698348e-07
?,263137,0.0016424138129471748
€,61188,0.00038191518633491953
£,238512,0.0014887127365351756
@,15021,9.375609619429996e-05
−,72422,0.0004520340855191793
‘,149734,0.0009345899279380409
ē,24373,0.00015212817605643253
ṅ,3026,1.8887287602952647e-05
ā,390974,0.002440329934989031
ô,87435,0.0005457402483688581
ʻ,28545,0.00017816841527636593
ī,112343,0.0007012077168468305
ə,19948,0.00012450879481285505
î,40517,0.0002528936655019274
ž,107974,0.0006739378690156011
ć,316894,0.001977947163797117
ń,86892,0.0005423510226026971
ј,2472,1.5429403487937524e-05
а,86325,0.0005388119968026726
с,46668,0.00029128616584751956
м,24524,0.00015307066793615687
и,68214,0.0004257691462484507
н,55635,0.0003472552034997589
л,34583,0.0002158556071291842
ћ,2243,1.4000061498156902e-05
е,58521,0.0003652686575718413
к,40380,0.0002520385569752901
д,25411,0.00015860702752102765
р,51368,0.00032062200581244927
о,74932,0.00046770067239406733
в,42232,0.00026359812625508796
č,200031,0.0012485271072393328
[,210759,0.0013154877223763043
′,17799,0.00011109545011399674
_,745704,0.00465443685217191
ക,1668,1.041110235351124e-05
ോ,266,1.6602837086534713e-06
ട,879,5.486426240249628e-06
്,3559,2.2214096688337232e-05
ത,1149,7.1716766212136786e-06
െ,390,2.4342505502814052e-06
ണ,345,2.153375486787397e-06
ന,1225,7.64604339511467e-06
േ,343,2.1408921506321075e-06
ു,1233,7.695976739735828e-06
ം,800,4.993334462115703e-06
റ,412,2.571567247989587e-06
ി,1697,1.0592110727762935e-05
