0,2,3,0.0304917779743084
N,T,I,0.0617426873504669
T,I,A,0.0146765404357667
SPACE,R,O,0.0396013547965085
R,O,L,0.0250513362610501
O,L,E,0.015562193737925
L,E,SPACE,0.3875365806444266
A,R,T,0.0730031364779086
R,T,I,0.0516209353258002
T,I,F,0.0354261320863334
I,F,I,0.0452948403103835
F,I,C,0.0627548625529336
I,C,I,0.0466865812137752
C,I,A,0.0298591684727667
SPACE,G,E,0.0396013547965085
G,E,N,0.0679422604655752
E,N,E,0.0287204713699917
N,E,R,0.0576939865406002
E,R,A,0.0416257052014418
R,A,L,0.0232800296567334
L,SPACE,I,0.0234065515570417
T,E,L,0.0306182998746167
E,L,L,0.165617167503609
L,L,I,0.0288469932703001
L,I,G,0.0303652560740001
I,G,E,0.0164478470400834
C,E,",",0.0107543615262083
E,",",SPACE,0.1415780064450256
",",SPACE,O,0.0371974386906501
SPACE,O,U,0.0627548625529336
O,U,R,0.3803248323268516
U,R,SPACE,0.3843735331367183
R,SPACE,A,0.0802148847954836
SPACE,A,B,0.0377035262918834
A,B,I,0.0403604861983585
B,I,L,0.0383361357934251
I,L,I,0.0745213992816086
L,I,T,0.0499761506217918
T,Y,SPACE,0.0366913510894168
Y,SPACE,T,0.0246717705601251
O,SPACE,D,0.0146765404357667
SPACE,D,R,0.012525668130525
E,SPACE,W,0.0291000370709167
SPACE,W,I,0.0637670377554002
W,I,T,0.0373239605909584
I,T,H,0.0493435411202502
T,H,SPACE,0.0445357089085335
D,SPACE,D,0.0154356718376167
SPACE,D,A,0.1214610242960005
D,A,T,0.0131582776320667
S,SPACE,E,0.1070375276608504
SPACE,E,S,0.090210114919842
S,S,E,0.0933731624275504
SPACE,A,SPACE,0.1873789343566424
A,SPACE,D,0.0398543985971251
R,I,V,0.012525668130525
V,E,N,0.0538983295313502
E,N,SPACE,0.236469431676276
SPACE,A,P,0.0494700630205585
A,P,P,0.0570613770390585
P,P,R,0.0283409056690667
H,SPACE,T,0.0161948032394667
O,SPACE,S,0.011007405326825
SPACE,S,C,0.0242922048592001
C,I,E,0.0463070155128502
I,E,N,0.1070375276608504
C,E,.,0.0105013177255917
E,.,SPACE,0.0745213992816086
.,SPACE,M,0.01138697102775
R,E,C,0.0503557163227168
C,E,N,0.0153091499373083
N,T,SPACE,0.3715948212055766
T,SPACE,W,0.0175865441428584
SPACE,W,O,0.0206230697502584
W,O,R,0.0285939494696834
O,R,K,0.0225208982548834
K,S,SPACE,0.0169539346413167
SPACE,E,X,0.0692074794686586
E,X,P,0.0454213622106918
X,P,L,0.0130317557317583
P,L,O,0.0127787119311417
L,O,R,0.019357850747175
O,R,E,0.0509883258242585
R,E,SPACE,0.4505444869979769
E,SPACE,S,0.2201481065365009
SPACE,S,Y,0.0168274127410084
M,M,E,0.0838840199044253
M,E,T,0.0616161654501586
T,R,Y,0.0206230697502584
R,Y,SPACE,0.0431439680051418
SPACE,T,R,0.1319623420215922
T,R,A,0.1071640495611587
R,A,N,0.0695870451695836
A,N,S,0.1377823494357755
F,O,R,0.1157675387821254
O,R,M,0.0485844097184002
R,M,A,0.0340343911829418
M,A,T,0.0641466034563252
O,N,S,0.1590380286875757
N,S,SPACE,0.2153402743247842
S,SPACE,I,0.0687013918674253
N,SPACE,D,0.1107066627697921
SPACE,D,E,0.649183870482061
.,SPACE,T,0.0269491647656751
T,H,I,0.0554165923350502
H,I,S,0.0389687452949668
S,SPACE,S,0.1114657941716421
S,U,C,0.0172069784419334
U,C,C,0.011766536728675
I,N,C,0.0606039902476919
N,C,T,0.0111339272271333
SPACE,M,O,0.1700454340144007
M,O,T,0.011007405326825
O,T,I,0.0172069784419334
T,I,V,0.0408665737995918
A,T,E,0.0633874720544752
D,SPACE,B,0.0177130660431667
SPACE,B,Y,0.014803062336075
B,Y,SPACE,0.0161948032394667
SPACE,H,E,0.0250513362610501
H,E,R,0.091348812022617
E,R,M,0.0418787490020585
M,A,N,0.0607305121480002
A,N,N,0.0120195805292917
N,SPACE,W,0.0153091499373083
SPACE,W,E,0.0377035262918834
SQT,S,SPACE,0.0101217520246667
S,SPACE,G,0.0274552523669084
D,I,N,0.019357850747175
P,R,I,0.0425113585036001
R,I,N,0.0363117853884918
N,C,I,0.015182628037
C,I,P,0.0112604491274417
W,H,E,0.0206230697502584
H,E,N,0.0226474201551917
