!,/,0.0259238721510116
/,U,0.0259631904606441
U,S,0.0878895281317918
S,R,0.0543903283249233
R,/,0.0260549331831199
/,B,0.0260811453895415
B,I,0.0324244993435808
I,N,0.7579128425787935
N,/,0.0289907003023446
/,E,0.0260942514927523
E,N,0.5114394655960204
N,V,0.1440360742869657
V,SPACE,0.0286106233092307
SPACE,P,0.1925417622702287
P,Y,0.0369854232609478
Y,T,0.0277980449101596
T,H,0.1881512176946023
H,O,0.0313760110867148
O,N,0.3059357672502858
N,3,0.0273131190913591
3,.,0.0317954063894612
.,8,0.0257534928092709
8,RET,0.0260025087702766
RET,#,0.4625274884132218
#,SPACE,0.1128959730580457
SPACE,D,0.2359622822076916
D,A,0.1475222977410451
A,T,0.3123053334107467
T,E,1.289339115571322
E,SPACE,0.195438211079821
SPACE,O,0.3328425971421093
O,F,0.0523457762240346
F,SPACE,0.3547297895041869
SPACE,C,0.2429871535286938
C,O,0.2290291536091652
V,E,0.1211921363904979
E,R,0.6456590685780782
R,S,0.0844033046777124
S,I,0.1800778581167342
I,O,0.1294096631036851
N,SPACE,0.2800118950992741
SPACE,:,0.0882302868152732
:,SPACE,0.095884251090395
SPACE,1,0.0332763960522844
1,8,0.0306813876165411
8,/,0.0255700073643193
/,1,0.0284926683803333
1,0,0.3535633463184235
0,/,0.0257403867060601
/,2,0.0285319866899658
2,0,0.0806418530562056
0,2,0.0446000692264371
2,3,0.029790172598205
3,RET,0.0257141744996384
R,T,0.5258561791279277
R,SPACE,0.2654903327416801
SPACE,V,0.0819917816869206
SPACE,0,0.0323720749307375
0,.,0.3207849821881504
.,0,0.0261991003184389
.,1,0.027391755710624
1,RET,0.0263301613505472
RET,RET,0.3926064277834709
SPACE,G,0.0400653575154917
G,L,0.0295673688436209
L,O,0.3678096805085902
O,B,0.110930057576422
B,A,0.0321754833825751
A,L,0.444323111053386
L,SPACE,0.0684924953797709
SPACE,I,0.1719651802292336
I,M,0.145661231085108
M,P,0.1503270038281617
P,O,0.1525026169611586
O,R,0.5399321339763538
T,RET,0.0545213893570316
RET,I,0.053145248519895
T,SPACE,0.244088066198403
SPACE,S,0.7516874435536517
S,Y,0.1213494096290278
Y,S,0.1168802284341365
S,RET,0.0542199489831826
SPACE,L,0.0637218738110307
O,C,0.0821490549254505
C,A,0.1111659674342168
RET,F,0.0717559150792663
F,R,0.061297244717028
R,O,0.1885706129973487
O,M,0.2539438558129434
M,SPACE,0.092961590074381
SPACE,_,0.0522540335015589
_,L,0.0278111510133704
O,G,0.1831446862680672
G,G,0.1594226394564741
G,I,0.0389382326393608
N,G,0.0368543622288396
G,SPACE,0.0362383753779308
C,U,0.0612579264073956
S,T,1.101816990830839
T,O,0.190798650543189
M,L,0.0596065574028316
G,E,0.2653068472967286
R,RET,0.0270378909239317
SPACE,M,0.0730403131939272
M,S,0.0422933950613319
S,_,0.0752028202237133
_,U,0.0260549331831199
U,T,0.3355031360939068
T,I,0.5325140795590269
I,L,0.8863002296320344
L,S,0.3697493837837923
S,SPACE,0.1634593192454082
E,P,1.5327456644027622
P,U,0.0662644578339307
