!,/,U,0.0259238721510116
/,U,S,0.0259500843574333
U,S,R,0.0259762965638549
S,R,/,0.0259238721510116
R,/,B,0.0259238721510116
/,B,I,0.0260156148734874
B,I,N,0.026421904073023
I,N,/,0.0259238721510116
N,/,E,0.0259238721510116
/,E,N,0.0260025087702766
E,N,V,0.0874308145194129
P,Y,T,0.026946148201456
Y,T,H,0.026946148201456
T,H,O,0.0306813876165411
H,O,N,0.026946148201456
O,N,3,0.0259631904606441
N,3,.,0.0268019810661369
3,.,8,0.0257403867060601
D,A,T,0.1292392837619444
A,T,E,0.174101475052598
C,O,N,0.0842460314391825
O,N,V,0.0553208616528919
N,V,E,0.0568411696253476
V,E,R,0.0849144427029345
E,R,S,0.070510835274238
R,S,I,0.0519788053341315
S,I,O,0.0614414118523471
I,O,N,0.1284922358789273
1,8,/,0.0255700073643193
8,/,1,0.0255700073643193
/,1,0,0.0255700073643193
1,0,/,0.025596219570741
0,/,2,0.0255700073643193
/,2,0,0.0255831134675302
2,0,2,0.0259238721510116
0,2,3,0.0256486439835843
E,R,T,0.0443510532654314
R,T,E,0.0422409706484886
T,E,R,0.0530403996942084
0,.,0,0.0256355378803735
.,0,.,0.025596219570741
0,.,1,0.025596219570741
G,L,O,0.0261597820088065
L,O,B,0.0272869068849374
O,B,A,0.0259107660478008
B,A,L,0.0260156148734874
I,M,P,0.1348224837297558
M,P,O,0.1362641550829465
P,O,R,0.1337346771632573
O,R,T,0.4680058395553466
S,Y,S,0.1160545439318545
L,O,C,0.0610613348592332
O,C,A,0.0328176824399055
C,A,L,0.0649014231000049
F,R,O,0.0556223020267409
R,O,M,0.0555436654074759
_,L,O,0.0264087979698121
L,O,G,0.1780070938094239
O,G,G,0.1587018037798788
G,G,I,0.0270641031303534
G,I,N,0.0298294909078374
I,N,G,0.0326997275110081
C,U,S,0.0518608504052341
U,S,T,0.0529224447653109
S,T,O,0.0889904408015011
T,O,M,0.0519656992309207
O,M,L,0.0515331978249635
M,L,O,0.0523326701208238
G,G,E,0.1316901250623686
G,E,R,0.1679416065435103
M,S,_,0.0258059172221142
S,_,U,0.0257534928092709
_,U,T,0.0258714477381683
U,T,I,0.1909166054720864
T,I,L,0.1853202994010641
I,L,S,0.1779677754997914
S,T,E,0.7294725986113035
T,E,P,0.7299313122236823
E,P,U,0.0575357930955213
P,U,T,0.0528962325588893
E,R,(,0.0335778364261334
R,(,_,0.0257534928092709
(,_,_,0.0257534928092709
_,_,N,0.0516773649602826
_,N,A,0.0566183658707636
N,A,M,0.2783867383011318
A,M,E,0.2781377223401262
M,E,_,0.0534597949969547
E,_,_,0.0516904710634934
_,_,",",0.0257534928092709
DQT,A,0,0.0518739565084449
A,0,E,0.0565004109418661
0,E,P,0.057404732063413
1,DQT,),0.0248098533780915
L,S,(,0.0530535057974192
S,(,L,0.0531059302102625
(,L,O,0.0531714607263166
E,R,),0.0546131320795073
D,O,M,0.0239448505661771
DQT,A,DQT,0.0215333275753853
I,T,E,0.0134206496878847
T,E,M,0.0639708897720363
P,R,O,0.0728044033361323
R,O,C,0.0140104243323718
C,C,A,0.0181257407405708
C,A,R,0.0244035641785559
A,R,D,0.0230405294446301
[,N,A,0.165346598107767
M,E,=,0.1781381548415321
E,=,J,0.091768934682196
=,J,C,0.0993180501316311
J,C,L,0.1183218997873272
C,L,I,0.1172865176336721
L,I,D,0.1170375016726664
I,D,E,0.1305630001862377
D,E,N,0.1185447035419112
E,N,T,0.3660796748847613
N,T,I,0.1233153251106515
T,I,F,0.1189247805350252
I,F,I,0.1194228124570365
F,I,E,0.1345734677687501
I,E,R,0.1560281587248705
X,P,R,0.0475096241392402
R,O,F,0.0197771097451347
H,A,S,0.1165263636474442
A,S,Q,0.1164608331313901
S,Q,U,0.1165787880602875
Q,U,O,0.1185840218515437
U,O,T,0.1185578096451221
O,T,E,0.1185315974387004
T,E,=,0.1166574246795525
E,=,F,0.1165656819570767
