2,0,621,0.07857010009147533
0,2,356,0.045041796509766856
2,3,290,0.036691351089416825
3,0,338,0.042764402304216846
0,5,105,0.013284799532375057
5,1,76,0.009615664423433375
1,0,338,0.042764402304216846
0,1,134,0.01695393464131674
1,8,90,0.011386971027750048
8,5,23,0.002910003707091679
5,4,24,0.003036525607400013
4,"
",24,0.003036525607400013
"
",t,346,0.04377657750668352
t,a,2526,0.31959432017885137
a,g,1397,0.1767510947307424
g,s,198,0.025051336261050106
s,:,882,0.11159231607195047
:, ,1694,0.21432809912231757
 ,#,287,0.03631178538849182
#,t,22,0.002783481806783345
t,h,3644,0.46104580472356865
h,e,3380,0.4276440230421685
e,s,10223,1.293433386852097
s,e,4478,0.5665650695807191
e,/,127,0.016068281339158403
/,p,199,0.02517785816135844
p,r,3026,0.3828552703330183
r,o,2885,0.36501568238954324
o,f,1119,0.1415780064450256
f,e,1190,0.1505610613669173
s,s,2236,0.2829029690894345
s,o,2362,0.2988447285282846
o,r,3782,0.4785058269661187
r, ,9383,1.1871549905930967
#,m,26,0.0032895694080166808
m,a,3139,0.39715224506786
a,c,2145,0.27138947616137615
c,h,2917,0.36906438319940993
h,i,1084,0.1371497399342339
i,n,7318,0.9258872664563873
n,e,3968,0.5020389004234688
e,l,2992,0.3785535257225349
l,e,7833,0.9910460451151792
e,a,2540,0.32136562678316805
a,r,3957,0.5006471595200771
r,n,490,0.061995731151083595
n,i,1428,0.18067327364030078
n,g,2258,0.28568645089621786
g, ,1271,0.16080933529189234
 ,"
",1653,0.2091407012096759
"
",u,105,0.013284799532375057
u,n,3076,0.389181365348435
i,v,1037,0.13120321061974222
v,e,3772,0.47724060796303536
e,r,8791,1.112254025610563
r,s,1760,0.2226785445426676
s,i,2627,0.3323730321099931
i,t,4525,0.5725115988952107
t,y,658,0.08325141040288368
y,:,65,0.008223923520041702
m,c,81,0.010248273924975043
c,g,84,0.010627839625900045
g,i,807,0.10210317354882543
i,l,3494,0.44206751967731855
l,l,3129,0.39588702606477666
l, ,3224,0.4079066065940684
"
",l,255,0.03226308457862514
l,i,2794,0.3535021894614848
n,k,316,0.0399809204974335
k,:,79,0.009995230124358375
 ,[,1055,0.13348060482529223
[,l,85,0.01075436152620838
k,],67,0.00847696732065837
],(,511,0.06465269105755861
(,h,509,0.06439964725694194
h,t,966,0.12222015569785052
t,t,1884,0.238367260180901
t,p,743,0.09400577192909207
p,s,1177,0.14891627666290896
:,/,721,0.09122229012230872
/,/,718,0.09084272442138372
