2,0,2,299,0.03783004819219183
0,2,3,241,0.03049177797430846
2,3,0,209,0.02644307716444178
3,0,5,60,0.007591314018500032
0,5,1,42,0.005313919812950023
5,1,0,14,0.0017713066043166742
1,0,1,25,0.0031630475077083467
0,1,8,11,0.0013917409033916725
1,8,5,3,0.00037956570092500164
8,5,4,1,0.00012652190030833387
5,4,"
",5,0.0006326095015416693
4,"
",t,5,0.0006326095015416693
"
",t,a,141,0.017839587943475076
t,a,g,214,0.027075686665983447
a,g,s,145,0.018345675544708413
g,s,:,135,0.017080456541625072
s,:, ,149,0.018851763145941745
:, ,#,186,0.0235330734573501
 ,#,t,15,0.001897828504625008
#,t,h,11,0.0013917409033916725
t,h,e,1730,0.21888288753341759
h,e,s,243,0.03074482177492513
e,s,e,169,0.021382201152108423
s,e,/,13,0.0016447847040083404
e,/,p,18,0.0022773942055500096
/,p,r,109,0.013790887133608392
p,r,o,1190,0.1505610613669173
r,o,f,381,0.048204844017475205
o,f,e,146,0.018472197445016745
f,e,s,157,0.019863938348408418
e,s,s,877,0.11095970657040881
s,s,o,136,0.017206978441933408
s,o,r,219,0.02770829616752512
o,r, ,764,0.09666273183556708
r, ,#,13,0.0016447847040083404
 ,#,m,22,0.002783481806783345
#,m,a,5,0.0006326095015416693
m,a,c,49,0.006199573115108359
a,c,h,243,0.03074482177492513
c,h,i,203,0.025683945762591774
h,i,n,202,0.025557423862283442
i,n,e,816,0.10324187065160044
n,e,l,87,0.011007405326825048
e,l,e,160,0.02024350404933342
l,e,a,207,0.02619003336382511
e,a,r,272,0.034413956883866816
a,r,n,166,0.021002635451183423
r,n,i,127,0.016068281339158403
n,i,n,191,0.02416568295889177
i,n,g,1491,0.1886441533597258
n,g, ,1180,0.14929584236383397
g, ,"
",5,0.0006326095015416693
 ,"
",u,17,0.002150872305241676
"
",u,n,91,0.011513492928058382
u,n,i,298,0.03770352629188349
n,i,v,215,0.027202208566291783
i,v,e,611,0.077304881088392
v,e,r,932,0.11791841108736717
e,r,s,991,0.12538320320555887
r,s,i,221,0.027961339968141787
s,i,t,418,0.05288615432888356
i,t,y,416,0.05263311052826689
t,y,:,54,0.006832182616650029
y,:, ,58,0.007338270217883364
#,m,c,10,0.0012652190030833386
m,c,g,75,0.00948914252312504
c,g,i,75,0.00948914252312504
g,i,l,123,0.015562193737925067
i,l,l,969,0.12259972139877552
